sp004-000001_KS_11	aByarTyeti
sp004-001803_KS_16	aTa ca kzubDe etadIyaprahArakzuBite ata eva parAvftya gate tu vizasAda KinnaH aBUt
sp004-001804_KS_16	yataH AhavapriyaH saNgrAmapriyaH
sp004-001805_KS_16	vIrARAm pratidvandvisammuKAgamanameva prItijanakam Bavati iti BAvaH
sp004-001806_KS_16	bahuBiriti
sp004-001807_KS_16	raRe ulbaRAH udBawAH keऽpi yoDAH raRe saNgrAme bahuBiH saha
sp004-001808_KS_16	yudDvA pariBramya vA tAnuddiSya upeyuH yudDArTam aBijagmuH
sp004-001809_KS_16	ye pUrvam vftAH aNgIkftAH yEH saha pUrvam ayoDi punarapi tEreva saha yodDum jagmuH ityarTaH
sp004-001810_KS_16	aBita iti
sp004-001811_KS_16	BujAdaRqezu yaH romRAm udgamaH tam biBrati taTABUtAH BawAH yoDAH kartAraH
sp004-001812_KS_16	raRasya saNgrAmasya madena udDatAn
sp004-001813_KS_16	ata eva yodDum aBitaH aByAgatAn vIrAn
sp004-001814_KS_16	Alokya iti SezaH
sp004-001815_KS_16	pratyanandan ahfzyan
sp004-001816_KS_16	Sastreti
sp004-001817_KS_16	SastrEH BinnAH vidIrRAH ye iBakumBAH gajagaRqasTalAni
sp004-001818_KS_16	kumBaH syAtkumBakarRasya sute veSyApatO Gawe
sp004-001819_KS_16	rASiBede dvipANge ca iti viSvaH
sp004-001820_KS_16	teByaH aDaScyutAni mOktikAni kartFRi
sp004-001821_KS_16	aDyAhavakzetram aDisaNgrAmakedAram
sp004-001822_KS_16	uptam
sp004-001823_KS_16	quvap bIjasantAne ityataH nizWA
sp004-001824_KS_16	yatkIrtibIjam yaSorUpamahIruhabIjam tasya aNkuraH tasya Sriyam SoBAm
sp004-001825_KS_16	daDuH iti SezaH
sp004-001826_KS_16	vIrARAmiti
sp004-001827_KS_16	raRe vizamEH duHsahEH vIrARAm GozEH vidrutAH palAyitAH
sp004-001828_KS_16	vAraRAH gajAH SAsyamAnAH SizyamARA api
sp004-001829_KS_16	yantfBiH iti SezaH
sp004-001830_KS_16	DUtANkuSAH apamAnitANkuSAH santaH trAsAt diSo BejuH
sp004-001831_KS_16	tFPalaBaja iti etvAByAsalopO diSaH prati palAyAYcakrire
sp004-001832_KS_16	raRa iti
sp004-001833_KS_16	raRe saNgrAme bARagaREH SatruSaranikarEH BinnayoDinaH vidIrRayantAraH
sp004-001834_KS_16	ata eva svayamapi BinnAH ata eva BramantaH mahAgajAH
sp004-001835_KS_16	milantyaH saMyujantyaH yAH raktasya nimnagAH nadyaH tAsu nimamajjuH
sp004-001836_KS_16	apAra iti
sp004-001837_KS_16	uccEstarezvapi raTezu apAre agADe asfk saritpUre
sp004-001838_KS_16	ruDiranadIpravAhe majjatsu satsu raTinaH raTArohAH kradDAH
sp004-001839_KS_16	ata eva huNkftEH BIzayantaH iti SezaH
sp004-001840_KS_16	aBiripum SatrusammuKam SarAn vyasfjan tatyajuH
sp004-001841_KS_16	Kaqgeti
sp004-001842_KS_16	KaqganirlUnamUrDAnaH karavAlakfttaSirasaH
sp004-001843_KS_16	ata eva vAjinaH aSvAt vyApatantaH api asinA Kaqgena dAritAn vidIrRAn arIn praTamam pAtayAmAsuH
sp004-001844_KS_16	punaH svayam petuH iti SezaH
sp004-001845_KS_16	atra dArayitvAsinA ripUn iti pAWaH sADIyAn
sp004-001846_KS_16	vIrARAmiti
sp004-001847_KS_16	SastraBinnAni ata eva nipatantyapi dantEH dazwAH pIqitAH ye ozWAH aDarAH tEH
sp004-001848_KS_16	BImAni GorARi vIrARAm SirAMsi kruDA aBiripum vErisammuKam aDAvan
sp004-001849_KS_16	SirAMsIti
sp004-001850_KS_16	arDacandrahftAni arDacandrAkArabARakartitAni varayoDAnAm SirAMsi
sp004-001851_KS_16	pAdEH AdaDAnAH gfhRantaH SyenAH pakziviSezAH
sp004-001852_KS_16	BfSam atiSayena naBaH vyAnaSire vyApuH
sp004-001853_KS_16	sarvasminneva naBasi SyenanItamastakAnyeva jAtAni iti BAvaH
sp004-001854_KS_16	kroDAditi
sp004-001855_KS_16	padAtayaH padgatayaH aSvArohASca kroDAdDetoH aByApatatAm sammuKam AgacCatAm
sp004-001856_KS_16	dantinAm dantezu AruQAH santaH prAsEH kuntEH gajArohaprARAn yantFRAm asUn apAharan
sp004-001857_KS_16	Sastreti
sp004-001858_KS_16	SastrEH CinnAH gajArohAH yezAm ata eva itastataH viBramantaH
sp004-001859_KS_16	gajAH yugAntavAtEH pralayapraBaYjanEH cAlitAH utpAtitAH SElA iva baBuH SuSuBire
sp004-001860_KS_16	militezviti
sp004-001861_KS_16	yodDum militezu dantizu
sp004-001862_KS_16	AruQAH iti SezaH
sp004-001863_KS_16	BawAH miTaH anyonyam yudDyamAnAH prasaBam balAt SastrEH kftvA parasparam prARAn agfhRan
sp004-001864_KS_16	ruzeti
sp004-001865_KS_16	ruzA kroDena miTaH anyonyam milatAm dantinAm ye dantAH tezAm saNGarzAt jAtaH analaH
sp004-001866_KS_16	agniH ariBiH vEriBiH SastrEH hftAH prARAH yezAm tAn yoDAn sahasA akasmAt adahat puploza
sp004-001867_KS_16	AkziptA iti
sp004-001868_KS_16	param atiSayitam kopanEH krudDEH dantIndrEH AkziptA api
sp004-001869_KS_16	Akzeptum SuRqena gfhItA api ityarTaH
sp004-001870_KS_16	pattayaH pAdacAriRaH svasya praBoH puraH KaqgAGAtEH tadasUn dantIndraprARAn aharan jagfhuH
sp004-001871_KS_16	utkzipyeti
sp004-001872_KS_16	kariBiH utkzipya utTApya divi dUrAnmuktAnAm yoDinAm jIvAtmaBiH jivEH prAREriti yAvat
sp004-001873_KS_16	divyAH svargiyAH gatiH prApi
sp004-001874_KS_16	vigrahEH dehEH mahI vA prApi prAptA
sp004-001875_KS_16	karmaRi luN
sp004-001876_KS_16	KaqgEriti
sp004-001877_KS_16	BawAH yoDAH DavalaDArAlEH DavalAm DArAm lAnti gfhRanti tEH
sp004-001878_KS_16	SuBraDArEH ityarTaH
sp004-001879_KS_16	advitIyEH KaqgEH kftvA BuvA pfTivyA samam vidDAn prahftAn kariRAm karAn
sp004-001880_KS_16	SuRqAdaRqAn nihatyApi lavitvApi santozam tfptim na yayuH
sp004-001881_KS_16	anyAnapi nihanmIti budDimanto baBUvuH ityarTaH
sp004-001882_KS_16	Akzipyeti
sp004-001883_KS_16	kariBiH kartfBiH
sp004-001884_KS_16	karEH daRqEH kftvA Akzipya utTApya aBidivam
sp004-001885_KS_16	AkASasammuKam nItAH prApitAH pattayaH pAdacAriRaH raktABiH
sp004-001886_KS_16	anuraktABiH divyANganABiH drutam SIGram AdAtum grahItum Izire izwA baBUvuH
sp004-001887_KS_16	ahametAn grahIzyAmi ahametAn grahIzyAmi iti tvaritA baBUvuH
sp004-001888_KS_16	Danvina iti
sp004-001889_KS_16	turagAruQAH DanvinaH DanurDAriRaH yoDAH SarEH kzatAn
sp004-001890_KS_16	ata eva mUrcCitAn gajArohAn yantFn
sp004-001891_KS_16	BUyaH api punarapi yodDum ASvasataH jIvataH etAdfSAn ciram pratyEcCan
sp004-001892_KS_16	pratIkzante sma ityarTaH
sp004-001893_KS_16	krudDasyeti
sp004-001894_KS_16	pattiH pAdacArI kAScit yoDaH krudDasya ata eva jiGfkzoH
sp004-001895_KS_16	gfhItum icCoH dantinaH karam dantayoH aDoBAgam
sp004-001896_KS_16	asinA nirBidyAcCitvA jiGfkzayA pratyuta
sp004-001897_KS_16	tasyEva grahItum icCayA dantamusalO Aruroha AruQavAn
sp004-001898_KS_16	Kaqgeneti
sp004-001899_KS_16	prAtipakzye SatrusambanDini sEnye pravizwoऽpi padAtiH pAdacArI dantinaH gajasya
sp004-001900_KS_16	radanadvayam dantadvayam Kaqgena kftvA mUlataH mUlAt hatvA BittvA drutam niragAt niScakrAma
sp004-001901_KS_16	SatrusEnyapravizwasya maraRameva Druvam
sp004-001902_KS_16	tadasya viparItam aBUt iti apinA dyotyate
sp004-001903_KS_16	kareReti
sp004-001904_KS_16	kopinA krudDena kariRA dantinA kartrA
sp004-001905_KS_16	kareRa kftvA sutarAm gfhItoऽpi vIraH asinA Kaqgena tasyEva kariRaH eva asUn prARAn jahAra hftavAn
sp004-001906_KS_16	svayam akzataH aBUt
sp004-001907_KS_16	turaNgIti
sp004-001908_KS_16	turaNgI aSvArohaH kaScit yodDA turagAruQam aSvavAram prAsena kuntena
sp004-001909_KS_16	vakzasi Ahatya tAqayitvA patataH tasya ASvavArasya
sp004-001910_KS_16	kartfkam svake AtmIye hfdi prAsaGAtam kuntakzatam nAjYAsIt na vijajYe
sp004-001911_KS_16	tadIya patanaja Anandasya udvelatvAt iti BAvaH
sp004-001912_KS_16	dvizeti
sp004-001913_KS_16	dvizA SatruRA prAsena kftvA hftaprARaH mAritaH
sp004-001914_KS_16	taTA vAjipfzWe aSvapfzWaBAge dfQAsanaH
sp004-001915_KS_16	prAk dfQAsanatvAt mftatve dfQatvam yuktam
sp004-001916_KS_16	taTA hasta udDftaH mahAprAsaH yena taTABUtaH kaScit jIvanniva Buvi aBramat
sp004-001917_KS_16	aSvaBramaRavaSAt Braman SavaH aSava iva lakzitaH iti BAvaH
sp004-001918_KS_16	turaNgeti
sp004-001919_KS_16	abadDoऽpi anirudDoऽpi mahAvAjI mahAn aSvaH
sp004-001920_KS_16	sASruRI sabAzpe nayane yasya taTABUtaH san
sp004-001921_KS_16	SastrahftaprARam ata eva Buvi gatam turaNgasAdinam aSvavAram nAtyajat na jahO
sp004-001922_KS_16	kintu tajjIvanam apekzamARaH tatrEva tasTO ityarTaH
sp004-001923_KS_16	Balleneti
sp004-001924_KS_16	ripuRA kartrA
sp004-001925_KS_16	SitaDAreRa tIkzRaDAreRa Ballena Binnoऽpi vidAritoऽpi aSvagaH
sp004-001926_KS_16	turaNgagAmI kopataH kroDavaSAt nAmUrcCat na muhyati sma
sp004-001927_KS_16	kintu prapatannapi aSvAt aDaH sraMsamAnoऽpi ripum hantum iyeza EcCat
sp004-001928_KS_16	miTa iti
sp004-001929_KS_16	miTaH anyonyam prAsena AhatO
sp004-001930_KS_16	ata eva vAjiByAm sakASAt cyutO aDaH patitO
sp004-001931_KS_16	ata eva BUmim gatO kOcit yoDO ruzA yutO santO SastryA KaqgaputryA yuyuDatuH yuyuDAte
sp004-001932_KS_16	aTa ca keSAkeSi keSezu keSezu gfhItvA pravfttam yat yudDam
sp004-001933_KS_16	BujAByAm BujAByAm prahftya pravfttam yadyudDam tat aBUt
sp004-001934_KS_16	tatra tenedamiti sarUpe iti sUtreRa samAsaH
sp004-001935_KS_16	raTina iti
sp004-001936_KS_16	raTiBiH raTArohEH kartfBiH
sp004-001937_KS_16	bAREH kftvA hftaprARAH taTA dfQAsanAH kzatam nazwam kArmukasanDAnam
sp004-001938_KS_16	DanuHsajjIkaraRam yezAm evamBUtAH raTinaH raTArohAH
sp004-001939_KS_16	saprARAH iva jIvantaH iva menire matAH
sp004-001940_KS_16	karmaRi liw
sp004-001941_KS_16	drazwfBiH iti SezaH
sp004-001942_KS_16	neti
sp004-001943_KS_16	raTI raTArohaH SastreRa mUrcCitam acetitam raTinam BUyaH na prAharat
sp004-001944_KS_16	kintu punarapi yuDi loBataH loBena
sp004-001945_KS_16	tftIyArTe tasiH
sp004-001946_KS_16	pratyASvasantam punaH ujjIvantam anvicCan apekzamARaH san atizWat
sp004-001947_KS_16	anyonyamiti
sp004-001948_KS_16	varAyuDO SrezWAyuDO kOcit raTinO anyonyam paraspareRa kftvA gataprARO
sp004-001949_KS_16	gamitAsU ata eva divaNgatO ekAm apsarasam prApya yuyuDAte
sp004-001950_KS_16	ahametAm grahIzyAmi ahametAm grahIzyAmi iti vadantO kalaham cakratuH ityarTaH
sp004-001951_KS_16	miTa iti
sp004-001952_KS_16	miTaH anyonyam arDacandreRa tadAkArabARena nirlUnamUrDAnO CinnamastakO ata eva KecarO
sp004-001953_KS_16	AkASacAriRO rucA kAntyA yutO kOcit raTinO raTArohO kartArO
sp004-001954_KS_16	Buvi nftyantO gAtram vikzipantO svakabanDO SirorahitasvadehO karma
sp004-001955_KS_16	apaSyatAm dfzwavantO
sp004-001956_KS_16	raReti
sp004-001957_KS_16	tUryezu nadatsu satsu paretayozitAm BUtANganAnAm gaRezu gAyatsu satsu
sp004-001958_KS_16	DftAyuDAH kabanDarAjayaH SirorahitadehapaNktayaH SoRitapaNkapicCile ruDirakardamalipte
sp004-001959_KS_16	anena snigDatvam uktam
sp004-001960_KS_16	raRANgaRe saNgrAmacatvare kaTam kaTaYcit mahatA kazwena nanftuH gAtram vicikzipuH
sp004-001961_KS_16	BUmeH atisnigDatayA pAdayoH sTEryeRa sTApanAsamBavAt nftye prayatno yogyaH iti BAvaH
sp004-001962_KS_16	ezAm SlokAnAm sPuwArTatvAt vistareRa vivftiH noktA
sp004-001963_KS_16	prasaNgAt vaktavyanirDAraRena lAGavAdi akAri
sp004-001964_KS_16	ataH kzantavyam ityalam
sp004-001965_KS_16	upajAtiH vfttam
sp004-001966_KS_16	itIti
sp004-001967_KS_16	iti pUrvoktaprakAreRa surAsurasEnyayoH devadEtyasEnyayoH yudDe saNgrAme vftte BUte sati
sp004-001968_KS_16	taTA ruDirasaritAm SoRitanadInAm tawezu majjantaH nimagnIBavantaH dantivrajAH
sp004-001969_KS_16	gajasamUhAH yezu taTABUtezu satsu
sp004-001970_KS_16	alam atiSayena kroDAdDetoH aruRanayanaH raktalocanaH
sp004-001971_KS_16	taTA BIme BayAnake BramatI vivartamAne BfkuwImuKe BfkuwyoH agre yasya taToktaH
sp004-001972_KS_16	saH suraripuH tArakaH yuyutsayA yodDum icCayA sapadi tatkzaRameva kakuBAm diSAm ISAn kakuBAm diSAm
sp004-001973_KS_16	ISAn indrAdIn azwadikpAlAn aByAgamat sammuKam AjagAma
sp004-001974_KS_16	hariRIvfttam rasayugahayErnsO mnO slO go yadA hariRI tadA iti lakzaRAt
sp004-001975_KS_16	iti SrIparvaRIkaropanAmaka SrIlakzmaRaBawwAtmaja satIgarBasamBava SrIsItArAmakaviviracitayA saYjIvinIsamAKyayA vyAKyayA sametaH
sp004-001976_KS_16	SrIkAlidAsakftO kumArasamBave mahAkAvye surAsurasEnyasaNgrAmavarRanam nAma zoqaSaH sargaH
