sp008-000001_SR_01	sa mAtuH pArSvam prAptaH
sp008-000906_YS_19	taTA zaqaviSezA liNgamAtre saMsfzwA vivicyante
sp008-000907_YS_19	pariRAmakramaniyamAt
sp008-000908_YS_19	taTA tezu aviSezezu BUtendriyARi saMsfzwAni vivicyante
sp008-000909_YS_19	taTA coktam purastAt
sp008-000910_YS_19	na viSezeByaH param tattvAntaram astIti viSezARAm nAsti tattvAntarapariRAmaH
sp008-000911_YS_19	tezAm tu DarmalakzaRAvasTApariRAmA vyAKyAyizyante
sp008-000912_YS_19	vyAKyAtam dfSyam
sp008-000913_YS_19	aTa drazwuH svarUpAvaDAraRArTam idam AraByate
sp008-000914_YS_19	drazwA dfSimAtraH SudDoऽpi pratyayAnupaSyaH
sp008-000915_YS_19	dfSimAtra iti dfkSaktireva viSezaRAparAmfzwA ityarTaH
sp008-000916_YS_19	sa puruzo budDeH pratisaMvedI
sp008-000917_YS_19	sa budDerna sarUpo nAtyantam virUpa iti
sp008-000918_YS_19	na tAvat sarUpaH
sp008-000919_YS_19	kasmAt jYAtAjYAtavizayatvAt pariRAminI hi budDiH
sp008-000920_YS_19	tasyASca vizayo gavAdiH GawAdirvA jYAtaSca ajYAtaSca iti pariRAmitvam darSayati
sp008-000921_YS_20	sadAjYAtavizayatvam tu puruzasya apariRAmitvam paridIpayati
sp008-000922_YS_20	kasmAt na hi budDiSca nAma puruzavizayaSca syAt gfhItA ca agfhItA ca iti sidDam puruzasya sadAjYAtavizayatvam tataSca apariRAmitvam iti
sp008-000923_YS_20	kim ca parArTA budDiH saMhatya kAritvAt
sp008-000924_YS_20	svArTaH puruza iti
sp008-000925_YS_20	taTA sarvArTADyavasAyakatvAt triguRA budDiH triguRatvAt acetaneti
sp008-000926_YS_20	guRAnAm tu upadrazwA puruza iti
sp008-000927_YS_20	ato na sarUpaH
sp008-000928_YS_20	astu tarhi virUpa iti
sp008-000929_YS_20	nAtyantam virUpaH
sp008-000930_YS_20	kasmAt SudDoऽpyasO pratyayAnupaSyaH
sp008-000931_YS_20	yataH pratyayam bOdDam anupaSyati
sp008-000932_YS_20	tam anupaSyan atadAtmApi tadAtmaka iva pratyavaBAsate
sp008-000933_YS_20	taTA coktam apariRAminI hi BoktfSaktiH apratisaNkramA ca pariRAminyarTe pratisaNkrAnteva tadvfttam anupatati
sp008-000934_YS_20	tasyASca prAptacEtanyopagraharUpAyA budDivftteranukAramAtratayA budDivfttyaviSizwA hi jYAnavfttiriti AKyAyate
sp008-000935_YS_20	tadarTa eva dfSyasyAtmA
sp008-000936_YS_20	dfSirUpasya puruzasya karmarUpatAmApannam dfSyamiti tadarTa eva dfSyasyAtmA Bavati
sp008-000937_YS_20	tatsvarUpam tu pararUpeRa pratilabDAtmakam BogApavargArTatAyAm kftAyAm puruzeRa na dfSyata iti
sp008-000938_YS_20	svarUpahAnAdasya nASaH prAptaH
sp008-000939_YS_20	na tu vinaSyati
sp008-000940_YS_20	kasmAt
sp008-000941_YS_20	kftArTam prati nazwamapyanazwam tadanyasADAraRatvAt
sp008-000942_YS_20	kftArTamekam puruzam prati dfSyam nazwamapi nASam prAptamapi anazwam tadanyapuruzasADAraRatvAt
sp008-000943_YS_20	kuSalam puruzam prati nASam prAptamapi akuSalAn puruzAn prati na kftArTamiti tezAm dfSeH karmavizayatAmApannam laBata eva pararUpeRa AtmarUpamiti
sp008-000944_YS_20	ataSca dfgdarSana SaktyoH nityatvAt anAdiH saMyogo vyAKyAta iti
sp008-000945_YS_20	taTA coktam DarmiRAm anAdisaMyogAdDarmamAtrARAmapi anAdiH saMyogaH iti
sp008-000946_YS_20	saMyogasvarUpABiDitsayA idam sUtram pravavfte
sp008-000947_YS_20	svasvAmiSaktyoH svarUpopalabDihetuH saMyogaH
sp008-000948_YS_20	puruzaH svAmI dfSyena svena darSanArTam saMyuktaH
sp008-000949_YS_20	tasmAt dfSyasya upalabDiH yA sa BogaH
sp008-000950_YS_20	yA tu drazwuH svarUpopalabDiH soऽpavargaH
sp008-000951_YS_20	darSanakAryAvasAnaH saMyoga iti darSanam viyogasya kAraRam uktam
sp008-000952_YS_20	darSanam adarSanasya pratidvandvIti adarSanam saMyoganimittam uktam
sp008-000953_YS_20	nAtra darSanam mokzakAraRam
sp008-000954_YS_20	adarSanABAvAdeva banDABAvaH sa mokza iti
sp008-000955_YS_20	darSanasya BAve banDakftasya adarSanasya nASa ityato darSanajYAnam kEvalyakAraRam uktam
sp008-000956_YS_20	kim cedam adarSanam nAma
sp008-000957_YS_20	kim guRAnAm aDikAraH Ahosvit dfSirUpasya svAmino darSitavizayasya praDAnacittasya anutpAdaH
sp008-000958_YS_20	svasmin dfSye vidyamAne yo darSanABAvaH kimarTatA guRAnAm
sp008-000959_YS_20	aTa avidyA svacittena saha nirudDA svacittasya utpattibIjam
sp008-000960_YS_20	kim sTitisaMskArakzaye gatisaMskArABivyaktiH
sp008-000961_YS_20	yatredamuktam praDAnam sTityEva vartamAnam vikArAkaraRAt apraDAnam syAt
sp008-000962_YS_20	taTA gatyA eva vartamAnam vikAranityatvAt apraDAnam syAt
sp008-000963_YS_20	uBayaTA cAsya pravfttiH praDAnavyavahAram laBate nAnyaTA
sp008-000964_YS_20	kAraRAntarezvapi kalpitezveva samAnaScarcaH
sp008-000965_YS_20	darSanaSaktireva adarSanam ityeke
sp008-000966_YS_20	praDAnasya AtmaKyApanArTA pravfttiriti SruteH
sp008-000967_YS_20	sarvaboDyaboDasamarTaH prAkpravftteH puruzo na paSyati
sp008-000968_YS_20	sarvakAryakaraRasamarTam dfSyam tadA na dfSyata iti
sp008-000969_YS_20	uBayasyApi adarSanam Darma ityeke
sp008-000970_YS_20	tatra idam dfSyasya svAtmaBUtamapi puruzapratyayApekzam darSanam dfSyaDarmatvena Bavati
sp008-000971_YS_20	taTA puruzasya anAtmaBUtamapi dfSyapratyayApekzam puruzaDarmatveneva darSanam avaBAsate
sp008-000972_YS_20	darSanajYAnameva adarSanamiti kecit aBidaDati
sp008-000973_YS_20	ityete SAstragatA vikalpAH
sp008-000974_YS_20	tatra vikalpabahutvam etatsarvapuruzARAm guRAnAm saMyoge sADAraRavizayam
sp008-000975_YS_21	yastu pratyakcetanasya svabudDisaMyogaH
sp008-000976_YS_21	tasya heturavidyA
sp008-000977_YS_21	viparyayajYAnavAsanA ityarTaH
sp008-000978_YS_21	viparyayajYAnavAsanAvAsitA ca na kAryanizWAm puruzaKyAtim budDiH prApnoti
sp008-000979_YS_21	sADikArA punarAvartate
sp008-000980_YS_21	sA tu puruzaKyAtiparyavasAnAm kAryanizWAm prApnoti
sp008-000981_YS_21	caritADikArA nivfttAdarSanA banDakaraRABAvAt na punarAvartate
sp008-000982_YS_21	atra kaScit zaRqakopAKyAnena udGAwayati
sp008-000983_YS_21	mugDayA BAryayA aBiDIyate zaRqakaH
sp008-000984_YS_21	Aryaputra apatyavatI me BaginI kimarTam nAhamiti
sp008-000985_YS_21	sa tAm Aha mftasteऽham apatyam utpAdayizyAmIti
sp008-000986_YS_21	taTedam vidyamAnam jYAnam cittanivfttim na karoti vinazwam karizyatIti kA pratyASA
sp008-000987_YS_21	tatra AcAryadeSIyo vakti
sp008-000988_YS_21	nanu budDinivfttireva mokzaH
sp008-000989_YS_21	adarSanakAraRABAvAt budDinivfttiH
sp008-000990_YS_21	tacca adarSanam banDakAraRam darSanAt nivartate
sp008-000991_YS_21	tatra cittanivfttireva mokzaH
sp008-000992_YS_21	kimarTam asTAna eva asya mativiBramaH
sp008-000993_YS_21	heyam duHKam
sp008-000994_YS_21	heyakAraRam ca saMyogAKyam sanimittam uktam
sp008-000995_YS_21	ataH param hAnam vaktavyam
sp008-000996_YS_21	tadaBAvAtsaMyogABAvo hAnam taddfSeH kEvalyam
sp008-000997_YS_21	tasya adarSanasya aBAvAt budDipuruzasaMyogABAva Atyantiko banDanoparama ityarTaH
sp008-000998_YS_21	etadDAnam
sp008-000999_YS_21	taddfSeH kEvalyam puruzasya amiSrIBAvaH punarasaMyogo guRErityarTaH
sp008-001000_YS_21	duHKakAraRanivfttO duHKoparamo hAnam
sp008-001001_YS_21	tadA svarUpapratizWaH puruza ityuktam
sp008-001002_YS_21	vivekaKyAtiraviplavA hAnopAyaH
sp008-001003_YS_21	sattvapuruzAnyatApratyayo vivekaKyAtiH
sp008-001004_YS_21	sA tu anivfttamiTyAjYAnA plavate
sp008-001005_YS_21	yadA miTyAjYAnam dagDabIjaBAvam banDyaprasavam sampadyate
sp008-001006_YS_21	tadA viDUtakleSarajasaH sattvasya pare vESAradye parasyAm vaSIkArasaYjYAyAm vartamAnasya vivekapratyayapravAho nirmalo Bavati
sp008-001007_YS_21	sA vivekaKyAtiraviplavA hAnasya upAyaH
sp008-001008_YS_21	tataH miTyAjYAnasya dagDabIjaBAvopagamaH
sp008-001009_YS_21	punaSca aprasava ityezaH mokzasya mArgo hAnasyopAya iti
sp008-001010_YS_21	tasya saptaDA prAntaBUmiH prajYA
sp008-001011_YS_21	tasyeti pratyuditaKyAteH pratyAmnAyaH
sp008-001012_YS_22	saptaDA iti aSudDyAvaraRamalApagamAt cittasya pratyayAntarAnutpAde sati saptaprakArEva prajYA vivekino Bavati
sp008-001013_YS_22	tadyaTA parijYAnam heyam nAsya punaH parijYeyam asti
sp008-001014_YS_22	kzIRAH heyahetavo na punaretezAm kzetavyam asti
sp008-001015_YS_22	sAkzAtkftam niroDasamADinA hAnam
sp008-001016_YS_22	BAvito vivekaKyAtirUpo hAnopAya iti
sp008-001017_YS_22	ezA catuzwayI kAryavimuktiH prajYAyAH
sp008-001018_YS_22	cittavimuktistu trayI
sp008-001019_YS_22	caritADikArA budDiH
sp008-001020_YS_22	guRA giriSiKarakUwacyutA iva grAvARo niravasTAnAH svakAraRe pralayABimuKAssaha tena astam gacCanti
sp008-001021_YS_22	na ca ezAm vipralInAnAm punarasti utpAdaH prayojanABAvAt iti
sp008-001022_YS_22	etasyAm avasTAyAm guRasambanDAtItaH svarUpamAtrajyotiH amalaH kevalI puruza iti
sp008-001023_YS_22	etAm saptaviDAm prAntaBUmiprajYAm anupaSyan puruzaH kuSala ityAKyAyate
sp008-001024_YS_22	pratiprasaveऽpi cittasya muktaH kuSala ityeva Bavati guRAtItatvAt iti
sp008-001025_YS_22	sidDA Bavati vivekaKyAtiH hAnopAya iti
sp008-001026_YS_22	na ca sidDiH antareRa sADanam ityetat AraByate
sp008-001027_YS_22	yogANgAnuzWAnAdaSudDikzaye jYAnadIptirAvivekaKyAteH
sp008-001028_YS_22	yogANgAni azwO aBiDAyizyamAnAni
sp008-001029_YS_22	tezAm anuzWAnAt paYcaparvaRo viparyayasya aSudDirUpasya kzayo nASaH
sp008-001030_YS_22	tatkzaye samyagjYAnasya aBivyaktiH
sp008-001031_YS_22	yaTA yaTA ca sADanAni anuzWIyante
sp008-001032_YS_22	taTA taTA kzayakramAnuroDinI jYAnasyApi dIptiH vivarDate
sp008-001033_YS_22	sA KalvezA vivfdDiH prakarzam anuBavati AvivekaKyAteH
sp008-001034_YS_22	A guRapuruzasvarUpavijYAnAt ityarTaH
sp008-001035_YS_22	yogANgAnuzWAnam aSudDeH viyogakAraRam
sp008-001036_YS_22	yaTA paraSuH Cedyasya
sp008-001037_YS_22	vivekaKyAtestu prAptikAraRam yaTA DarmaH suKasya nAnyaTA kAraRam
sp008-001038_YS_22	kati cEtAni kAraRAni SAstre Bavanti navEva ityAha
sp008-001039_YS_22	utpattisTityaBivyaktivikArapratyayAptayaH
sp008-001040_YS_22	viyogAnyatvaDftayaH kAraRam navaDA smftam
sp008-001041_YS_22	tatrotpattikAraRam mano Bavati vijYAnasya
sp008-001042_YS_22	sTitikAraRam manasaH puruzArTatA SarIrasyeva AhAra iti
sp008-001043_YS_22	aBivyaktikAraRam yaTA rUpasyAlokaH taTA rUpajYAnam
sp008-001044_YS_22	vikArakAraRam manaso vizayAntaram yaTAgniH pAkyasya
sp008-001045_YS_22	pratyayakAraRam DUmajYAnam agnijYAnasya
sp008-001046_YS_22	prAptikAraRam yogANgAnuzWAnam vivekaKyAteH
sp008-001047_YS_22	viyogakAraRam tadeva aSudDeH
sp008-001048_YS_22	anyatvakAraRam yaTA suvarRasya suvarRakAraH
sp008-001049_YS_22	evam ekasya strIpratyayasya avidyA mUQatve dvezo duHKatve
sp008-001050_YS_22	rAgaH suKatve tattvajYAnam mADyasTye
sp008-001051_YS_22	DftikAraRam SarIramindriyARAm
sp008-001052_YS_22	tAni ca tasya mahABUtAni SarIrARAm
sp008-001053_YS_22	tAni ca parasparam sarvezAm
sp008-001054_YS_22	tEryagyOnamAnuzadEvatAni ca parasparArTatvAt iti
sp008-001055_YS_22	evam navakAraRAni
sp008-001056_YS_22	tAni ca yaTAsamBavam padArTAntarezvapi yojyAni
sp008-001057_YS_22	yogANgAnuzWAnam tu dviDEva kAraRatvam laBata iti
sp008-001058_YS_22	aTa yogANgAni avaDAryante
sp008-001059_YS_22	yamaniyamAsanaprARAyAmapratyAhAraDAraRADyAnasamADayoऽzwAvaNgAni
sp008-001060_YS_22	yaTAkramametezAmanuzWAnam svarUpam ca vakzyAmaH
sp008-001061_YS_23	tatra ahiMsAsatyAsteyabrahmacaryAparigrahA yamAH
sp008-001062_YS_23	tatra ahiMsA sarvaTA sarvadA sarvaBUtAnAm anaBidrohaH
sp008-001063_YS_23	uttare ca yamaniyamAH tanmUlAH tatsidDiparatayA eva tatpratipAdanAya pratipAdyante
sp008-001064_YS_23	tadavadAtarUpakaraRAya eva upAdIyante
sp008-001065_YS_23	taTA coktam na Kalvayam brAhmaRo yaTA yaTA vratAni bahUni samAditsate
sp008-001066_YS_23	taTA taTA pramAdakfteByo hiMsAnidAneByo nivartamAnaH tAmeva avadAtarUpAm ahiMsAm karoti
sp008-001067_YS_23	satyam yaTArTe vANmanase
sp008-001068_YS_23	yaTA dfzwam yaTAnumitam yaTA Srutam taTA vANmanaSca
sp008-001069_YS_23	paratra svaboDasaNkrAntaye vAguktA
sp008-001070_YS_23	sA yadi na vaYcitA BrAntA vA pratipattibanDyA vA Bavediti
sp008-001071_YS_23	ezA sarvaBUtopakArArTam pravfttA na BUtopaGAtAya
sp008-001072_YS_23	yadi cEvamapi aBiDIyamAnA BUtopaGAtaparA eva syAt na satyam Bavet pApameva Bavet
sp008-001073_YS_23	tena puRyABAsena puRyapratirUpakeRa kazwatamam prApnuyAt
sp008-001074_YS_23	tasmAt parIkzya sarvaBUtahitam satyam brUyAt
sp008-001075_YS_23	steyam aSAstrapUrvakam dravyARAm parataH svIkaraRam
sp008-001076_YS_23	tatpratizeDaH punaraspfhArUpam asteyamiti
sp008-001077_YS_23	brahmacaryam guptendriyasya upasTasya saMyamaH
sp008-001078_YS_23	vizayARAm arjanarakzaRakzayasaNgahiMsAdozadarSanAt asvIkaraRam aparigraha ityete yamAH
sp008-001079_YS_23	te tu jAtideSakAlasamayAnavacCinnAH sArvaBOmA mahAvratam
sp008-001080_YS_23	tatrAhiMsA jAtyavacCinnA matsyabanDakasya matsyezu eva nAnyatra hiMsA
sp008-001081_YS_23	sEva deSAvacCinnA na tIrTe hanizyAmIti
sp008-001082_YS_23	sEva kAlAvacCinnA na caturdaSyAm na puRyeऽhani hanizyAmIti
sp008-001083_YS_23	sEva triBiruparatasya samayAvacCinnA devabrAhmaRArTe nAnyaTA hanizyAmIti
sp008-001084_YS_23	yaTA ca kzatriyARAm yudDa eva hiMsA nAnyatreti
sp008-001085_YS_23	eBiH jAtideSakAlasamayEH anavacCinnA ahiMsAdayaH sarvaTEva paripAlanIyAH
sp008-001086_YS_23	sarvaBUmizu sarvavizayezu sarvaTEva aviditavyaBicArAH sArvaBOmA mahAvratam ityucyate
sp008-001087_YS_23	SOcasantozatapaHsvADyAyeSvarapraRiDAnAni niyamAH
sp008-001088_YS_23	tatra SOcam mfjjalAdijanitam meDyAByavaharaRAdi ca bAhyam
sp008-001089_YS_23	AByantaram cittamalAnAm AkzAlanam
sp008-001090_YS_23	santozaH sannihitasADanAt aDikasya anupAditsA
sp008-001091_YS_23	tapaH dvandvasahanam
sp008-001092_YS_23	dvandvaSca jiGatsApipAse SItozRe sTAnAsane kAzWamOnAkAramOne ca
sp008-001093_YS_23	vratAni cEzAm yaTAyogam kfcCracAndrAyaRasAntapanAdIni
sp008-001094_YS_23	svADyAyo mokzaSAstrARAm aDyayanam praRavajapo vA
sp008-001095_YS_23	ISvarapraRiDAnam tasmin paramagurO sarvakarmArpaRam
sp008-001096_YS_23	SayyAsanasToऽTa paTi vrajanvA svasTaH parikzIRavitarkajAlaH
sp008-001097_YS_23	saMsArabIjakzayamIkzamARaH syAnnityamuktoऽmftaBogaBAgI
sp008-001098_YS_23	yatredamuktam tataH pratyakcetanADigamoऽpyantarAyABAvaSca iti
sp008-001099_YS_23	etezAm yamaniyamAnAm
sp008-001100_YS_23	vitarkabADane pratipakzaBAvanam
sp008-001101_YS_23	yadA asya brAhmaRasya hiMsAdayo vitarkA jAyeran hanizyAmyaham apakAriRam
sp008-001102_YS_23	anftamapi vakzyAmi dravyamapyasya svIkarizyAmi
sp008-001103_YS_23	dArezu cAsya vyavAyI BavizyAmi
sp008-001104_YS_23	parigrahezu cAsya svAmI BavizyAmi iti
sp008-001105_YS_23	evam unmArga pravaRa vitarkajvareRa atidIptena bADyamAnaH tatpratipakzAn BAvayet
sp008-001106_YS_23	Gorezu saMsArANgArezu pacyamAnena mayA SaraRam upAgataH sarvaBUtABayapradAnena yogaDarmaH
sp008-001107_YS_23	sa Kalvaham tyaktvA vitarkAn punastAn AdadAnaH tulyaH Svavftteneti BAvayet
sp008-001108_YS_23	yaTA SvA vAntAvalehI taTA tyaktasya punarAdadAna iti evamAdi sUtrAntarezvapi yojyam
sp008-001109_YS_24	vitarkA hiMsAdayaH kftakAritAnumoditA loBakroDamohapUrvakA mfdumaDyADimAtrA duHKAjYAnAnantaPalA iti pratipakzaBAvanam
sp008-001110_YS_24	tatra hiMsA tAvat kftakAritAnumoditA iti triDA
sp008-001111_YS_24	ekEkA punastriDA loBena mAMsacarmArTena kroDenApakftam aneneti mohena Darmo me BavizyatIti
sp008-001112_YS_24	loBakroDamohAH punastriviDA mfdumaDyADimAtrA iti
sp008-001113_YS_24	evam saptatriMSatirBedA Bavanti hiMsAyAH
sp008-001114_YS_24	mfdumaDyADimAtrAH punastriviDAH mfdumfduH maDyamfduH tIvramfduH iti
sp008-001115_YS_24	taTA mfdumaDyo maDyamaDyaH tIvramaDyaH iti
sp008-001116_YS_24	taTA mfdutIvro maDyatIvro atimAtratIvraH iti
sp008-001117_YS_24	evam ekASItiBedA hiMsA Bavati
sp008-001118_YS_24	sA punaH niyamavikalpasamuccayaBedAt asaNKyeyA prARaBfdBedasya aparisaNKyeyatvAt iti
sp008-001119_YS_24	evam anftAdizvapi yojyam
sp008-001120_YS_24	te KalvamI vitarkAH duHKAjYAnAnantaPalA iti pratipakzaBAvanam
sp008-001121_YS_24	duHKam ajYAnam ca anantam Palam yezAmiti pratipakzaBAvanam
sp008-001122_YS_24	taTA ca hiMsakastAvat praTamam vaDyasya vIryam Akzipati
sp008-001123_YS_24	tataSca SastrAdinipAtena duHKayati
sp008-001124_YS_24	tato jIvitAdapi mocayati
sp008-001125_YS_24	tato vIryAkzepAt asya cetanAcetanam upakaraRam kzIRavIryam Bavati
sp008-001126_YS_24	duHKotpAdAt narakatiryakpretAdizu duHKam anuBavati
sp008-001127_YS_24	jIvita vyaparopaRAt pratikzaRam ca jIvitAtyaye vartamAno maraRam icCan api duHKavipAkasya niyatavipAkavedanIyatvAt kaTaYcideva ucCvasiti
sp008-001128_YS_24	yadi ca kaTaYcit puRyAvApagatA hiMsA Bavet tatra suKaprAptO Bavet alpAyuriti
sp008-001129_YS_24	evam anftAdizvapi yojyam yaTAsamBavam
sp008-001130_YS_24	evam vitarkARAm ca amumeva anugatam vipAkam anizwam BAvayan na vitarkezu manaH praRidaDIta
sp008-001131_YS_24	pratipakzaBAvanAhetoH heyA vitarkA yadA asya syuH aprasavaDarmARaH tadA tatkftam ESvaryam yoginaH sidDisUcakam Bavati
sp008-001132_YS_24	tadyaTA ahiMsApratizWAyAm tatsanniDO vEratyAgaH
sp008-001133_YS_24	sarvaprARinAm Bavati
sp008-001134_YS_24	satyapratizWAyAm kriyAPalASrayatvam
sp008-001135_YS_24	DArmiko BUyA iti Bavati DArmikaH
sp008-001136_YS_24	svargam prApnuhi iti svargam prApnoti
sp008-001137_YS_24	amoGAsya vAgBavati
sp008-001138_YS_24	asteyapratizWAyAm sarvaratnopasTAnam
sp008-001139_YS_24	sarvadiksTAnyasyopatizWante ratnAni
sp008-001140_YS_24	brahmacaryapratizWAyAm vIryalABaH
sp008-001141_YS_24	yasya lABAt apratiGAn guRAn utkarzayati
sp008-001142_YS_24	sidDaSca vineyezu jYAnam ADAtum samarTo BavatIti
sp008-001143_YS_24	aparigrahasTErye janmakaTantAsamboDaH
sp008-001144_YS_24	asya Bavati
sp008-001145_YS_24	koऽhamAsam kaTamahamAsam kim svididam kaTam svididam ke vA BavizyAmaH kaTam vA BavizyAmaH
sp008-001146_YS_24	ityevam asya pUrvAntaparAntamaDyezu AtmaBAvajijYAsA svarUpeRa upAvartate
sp008-001147_YS_24	etA yamasTErye sidDayaH
sp008-001148_YS_24	niyamezu vakzyAmaH SOcAtsvANgajugupsA parErasaMsargaH
sp008-001149_YS_24	svANge jugupsAyAm SOcam AramBamARaH kAyAvadyadarSI kAyAnaBizvaNgI yatirBavati
sp008-001150_YS_24	kim ca parErasaMsargaH kAyasvaBAvAvalokI svamapi kAyam jihAsuH mfjjalAdiBiH AkzAlayannapi kAyaSudDim apaSyan kaTam parakAyEH atyantameva aprayatEH saMsfjyeta
sp008-001151_YS_24	kim ca sattvaSudDisOmanasyEkAgryendriyajayAtmadarSanayogyatvAni ca
sp008-001152_YS_24	BavantIti vAkyaSezaH
sp008-001153_YS_24	SuceH sattvaSudDiH tataH sOmanasyam tata EkAgryam tata indriyajayaH tataSca AtmadarSanayogyatvam budDisattvasya BavatIti etat SOcasTEryAt aDigamyata iti
sp008-001154_YS_24	santozAdanuttamaH suKalABaH
sp008-001155_YS_24	taTA coktam yacca kAmasuKam loke yacca divyam mahatsuKam
sp008-001156_YS_24	tfzRAkzayasuKasyEte nArhataH zoqaSIm kalAm iti
sp008-001157_YS_25	kAyendriyasidDiraSudDikzayAttapasaH
sp008-001158_YS_25	nirvartyamAnameva tapo hinasti aSudDyAvaraRaPalam
sp008-001159_YS_25	tadAvaraRamalApagamAt kAyasidDiH aRimAdyA taTendriyasidDiH dUrAt SravaRadarSanAdyA iti
sp008-001160_YS_25	svADyAyAdizwadevatAsamprayogaH
sp008-001161_YS_25	devA fzayaH sidDASca svADyAyaSIlasya darSanam gacCanti kArye cAsya vartante iti
sp008-001162_YS_25	samADisidDirISvarapraRiDAnAt
sp008-001163_YS_26	ISvarArpitasarvaBAvasya samADisidDiH yayA sarvam Ipsitam avitaTam jAnAti deSAntare dehAntare kAlAntare ca
sp008-001164_YS_26	tatoऽsya prajYA yaTABUtam prajAnAti iti
sp008-001165_YS_26	sTirasuKamAsanam
sp008-001166_YS_26	tadyaTA padmAsanam vIrAsanam BadrAsanam svastikam daRqAsanam sopASrayam paryaNkam krOYcanizadanam hastinizadanam uzwranizadanam samasaMsTAnam sTirasuKam yaTAsuKam ca ityevamAdIni
sp008-001167_YS_26	prayatnaSETilyAnantasamApattiByAm
sp008-001168_YS_26	BavatIti vAkyaSezaH
sp008-001169_YS_26	prayatnoparamAt siDyati Asanam yena na aNgamejayo Bavati
sp008-001170_YS_26	anante vA samApannam cittam Asanam nirvartayati iti
sp008-001171_YS_26	tato dvandvAnaBiGAtaH
sp008-001172_YS_26	SItozRAdiBirdvandvErAsanajayAnnABiBUyate
sp008-001173_YS_26	tasmin sati SvAsapraSvAsayorgativicCedaH prARAyAmaH
sp008-001174_YS_26	satyAsanajaye bAhyasya vAyorAcamanam SvAsaH
sp008-001175_YS_26	kozWyasya vAyoH niHsAraRam praSvAsaH
sp008-001176_YS_26	tayoH gativicCedaH uBayABAvaH prARAyAmaH
sp008-001177_YS_26	sa tu bAhyAByantarastamBavfttiH deSakAlasaNKyABiH paridfzwo dIrGasUkzmaH
sp008-001178_YS_26	yatra praSvAsapUrvako gatyaBAvaH sa bAhyaH
sp008-001179_YS_26	yatra SvAsapUrvako gatyaBAvaH sa AByantaraH
sp008-001180_YS_26	tftIyaH stamBavfttiH yatra uBayABAvaH sakftprayatnAt Bavati
sp008-001181_YS_26	yaTA tapte nyastamupale jalam sarvataH saNkocamApadyate taTA dvayoH yugapadBavati aBAva iti
sp008-001182_YS_26	trayoऽpyete deSena paridfzwAH iyAn asya vizayo deSa iti
sp008-001183_YS_26	kAlena paridfzwAH kzaRAnAm iyattAvaDAraRena avacCinnA ityarTaH
sp008-001184_YS_26	saNKyABiH paridfzwAH etAvadBiH SvAsapraSvAsEH praTamaH udGAtaH tadvat nigfhItasya etAvadBiH dvitIyaH udGAtaH evam tftIyaH
sp008-001185_YS_26	evam mfduH evam maDyaH evam tIvraH iti saNKyAparidfzwaH
sp008-001186_YS_26	sa Kalvayam evam aByasto dIrGasUkzmaH
sp008-001187_YS_26	bAhyAByantaravizayAkzepI caturTaH
sp008-001188_YS_26	deSakAlasaNKyABiH bAhyavizayaH paridfzwaH AkziptaH taTA AByantaravizayaH paridfzwaH AkziptaH uBayaTA dIrGasUkzmaH
sp008-001189_YS_26	tatpUrvako BUmijayAt krameRa uBayoH gatyaBAvaH caturTaH prARAyAmaH
sp008-001190_YS_26	tftIyastu vizayAnAlocito gatyaBAvaH sakfdArabDa eva deSakAlasaNKyABiH paridfzwo dIrGasUkzmaH
sp008-001191_YS_26	caturTastu SvAsapraSvAsayoH vizayAvaDAraRAt krameRa BUmijayAt uBayAkzepapUrvako gatyaBAvaH caturTaH prARAyAmaH ityayam viSezaH
sp008-001192_YS_26	tataH kzIyate prakASAvaraRam
sp008-001193_YS_26	prARAyAmAn aByasyataH asya yoginaH kzIyate vivekajYAnAvaraRIyam karma yattadAcakzate mahAmohamayena indrajAlena prakASaSIlam sattvam Avftya tadeva akArye niyuNkte iti
sp008-001194_YS_26	tadasya prakASAvaraRam karma saMsAranibanDanam prARAyAmAByAsAt durbalam Bavati pratikzaRam ca kzIyate
sp008-001195_YS_26	taTA coktam tapo na param prARAyAmAt tato viSudDiH malAnAm dIptiSca jYAnasya iti
sp008-001196_YS_26	kim ca DAraRAsu ca yogyatA manasaH
sp008-001197_YS_26	prARAyAmAByAsAdeva pracCardanaviDAraRAByAm vA prARasya iti vacanAt
sp008-001198_YS_26	svasvavizayAsamprayoge cittasya svarUpAnukAra ivendriyARAm pratyAhAraH
sp008-001199_YS_26	svavizayasamprayogABAve cittasvarUpAnukAraH iveti cittaniroDe cittavat nirudDAni indriyARi netarendriyajayavat upAyAntaram apekzante
sp008-001200_YS_26	yaTA maDukararAjam makzikA utpatantam anUtpatanti niviSamAnam anuniviSante taTA indriyARi cittaniroDe nirudDAni ityeza pratyAhAraH
sp008-001201_YS_26	tataH paramA vaSyatendriyARAm
sp008-001202_YS_26	SabdAdizu avyasanam indriyajayaH iti kecit
sp008-001203_YS_26	saktiH vyasanam vyasyatyenam SreyasaH iti avirudDA pratipattiH nyAyyA
sp008-001204_YS_26	SabdAdisamprayogaH svecCayA ityanye
sp008-001205_YS_26	rAgadvezABAve suKaduHKaSUnyam SabdAdijYAnam indriyajaya iti kecit
sp008-001206_YS_26	cittEkAgryAt apratipattireva iti jEgIzavyaH
sp008-001207_YS_26	tataSca paramA tviyam vaSyatA yat cittaniroDe nirudDAni indriyARi netarendriyajayavat prayatnakftam upAyAntaram apekzante yoginaH iti
